index,Exp,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,DLIndex_Mean,Fairness
22,0.65,124-347,12,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,8,0,0,0,0,0,0,13,5,0,0,0,0,0,0,12,14,0,0,0,0,0,0,15,10,0,0,0,0,0,0,3,9,0,0,0,0,0,0,4,11,0,0,0,0,0,0,6,2,0,0,0,0,0,0,16,32,0,Unicorn_Absent,-1,-1,177,1.0,16,1.0,64,0.0,1.0,0.758680555556,0.5
23,0.65,124-347,12,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,27,10,42,41,15,47,0,0,9,3,46,32,24,30,0,0,29,1,28,39,31,45,0,0,25,22,33,18,5,23,0,0,2,21,13,38,4,12,0,0,35,6,36,16,43,44,0,0,17,7,20,26,8,14,0,0,34,19,37,48,40,11,0,32,0,Unicorn_Absent,-1,-1,177,1.0,48,1.0,64,0.0,1.0,0.758680555556,0.5
28,0.65,124-347,15,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,10,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,11,12,0,0,0,0,0,0,9,13,0,0,0,0,0,0,5,8,0,0,0,0,0,0,4,16,0,0,0,0,0,0,14,15,0,0,0,0,0,0,6,32,0,Unicorn_Absent,-1,-1,273,1.0,16,1.0,64,0.0,1.0,0.758680555556,0.5
29,0.65,124-347,15,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,22,35,11,46,23,45,0,0,34,2,33,38,7,17,0,0,6,4,31,9,47,13,0,0,20,44,14,25,32,18,0,0,24,30,5,1,12,28,0,0,3,48,8,41,15,39,0,0,21,26,40,16,27,19,0,0,29,36,43,37,10,42,0,32,0,Unicorn_Absent,-1,-1,273,1.0,48,1.0,64,0.0,1.0,0.758680555556,0.5
34,0.65,124-347,18,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,15,14,0,0,0,0,0,0,8,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,5,9,0,0,0,0,0,0,13,6,0,0,0,0,0,0,12,7,0,0,0,0,0,0,10,2,0,0,0,0,0,0,16,32,0,Unicorn_Absent,-1,-1,369,1.0,16,1.0,64,0.0,1.0,0.758680555556,0.5
35,0.65,124-347,18,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,40,47,33,2,15,24,0,0,48,26,3,36,22,46,0,0,37,9,10,28,42,21,0,0,18,45,11,43,32,23,0,0,14,6,7,19,29,12,0,0,41,20,4,16,8,25,0,0,44,17,27,31,34,1,0,0,35,39,38,5,13,30,0,32,0,Unicorn_Absent,-1,-1,369,1.0,48,1.0,64,0.0,1.0,0.758680555556,0.5
36,0.65,124-347,19,124,Absent,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,16,8,0,0,0,0,0,0,12,1,0,0,0,0,0,0,11,10,0,0,0,0,0,0,4,7,0,0,0,0,0,0,5,6,0,0,0,0,0,0,9,13,0,0,0,0,0,0,2,3,0,0,0,0,0,0,14,32,0,Unicorn_Absent,-1,-1,401,1.0,16,1.0,64,0.0,1.0,0.758680555556,0.5
37,0.65,124-347,19,347,Absent,48,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,43,19,16,1,48,34,0,0,22,35,17,2,47,18,0,0,33,10,4,24,27,9,0,0,26,31,41,13,11,23,0,0,21,5,32,20,7,39,0,0,30,15,3,12,40,28,0,0,29,44,8,37,46,38,0,0,36,45,14,25,6,42,0,32,0,Unicorn_Absent,-1,-1,401,1.0,48,1.0,64,0.0,1.0,0.758680555556,0.5
46,0.65,191-948,4,191,Absent,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,9,3,0,0,6,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,8,10,0,0,11,0,0,7,26,6,Unicorn_Absent,-1,-1,14,0.9625,13,1.0,32,0.0,0.40625,0.40625,0.8125
47,0.65,191-948,4,948,Absent,25,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,7,0,0,0,11,0,8,0,0,4,0,16,0,0,0,9,5,0,0,0,0,22,13,0,0,0,0,23,0,0,17,0,15,0,10,0,12,18,19,24,0,0,6,21,0,20,0,14,0,0,0,3,0,25,0,26,6,Unicorn_Absent,-1,-1,14,0.9625,25,1.0,32,0.0,0.40625,0.40625,0.8125
